/usr/local/lib/python3.10/dist-packages/lerobot/policies/vqbet/vqbet_utils.py:1373: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @autocast(enabled=False)
Loading VQ-BeT from lerobot/vqbet_pusht (manual config patch)...
number of parameters: 26.00M
  Loaded: 37,515,530 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity check action: [0.04 0.81]
  Action range: [0.0, 0.8]
  Actions appear NORMALIZED [-1,1]
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep 58: -- | cov=0.201 | steps=300 | viol=  9 | 1.2s
  Ep 59: -- | cov=0.344 | steps=300 | viol=  4 | 1.2s
  Ep 60: OK | cov=0.965 | steps= 68 | viol=  3 | 0.3s
  Ep 61: OK | cov=0.959 | steps=249 | viol= 12 | 1.0s
  Ep 62: -- | cov=0.140 | steps=300 | viol= 50 | 1.2s
  Ep 63: -- | cov=0.783 | steps=300 | viol=  7 | 1.2s
  Ep 64: OK | cov=0.958 | steps=220 | viol=  7 | 0.9s
  Ep 65: OK | cov=0.970 | steps= 96 | viol=  0 | 0.4s
  Ep 66: -- | cov=0.000 | steps=300 | viol=  5 | 1.2s
  Ep 67: OK | cov=0.966 | steps=173 | viol= 12 | 0.7s
  Ep 68: -- | cov=0.000 | steps=300 | viol=  2 | 1.2s
  Ep 69: -- | cov=0.546 | steps=300 | viol=  2 | 1.2s
  Ep 70: OK | cov=0.954 | steps=285 | viol= 18 | 1.1s
  Ep 71: -- | cov=0.459 | steps=300 | viol=  5 | 1.2s
  Ep 72: OK | cov=0.954 | steps=246 | viol= 20 | 1.0s
  Ep 73: -- | cov=0.948 | steps=300 | viol=  4 | 1.2s
  Ep 74: OK | cov=0.957 | steps=163 | viol=  4 | 0.7s
  Ep 75: -- | cov=0.365 | steps=300 | viol= 31 | 1.2s
  Ep 76: OK | cov=0.960 | steps=136 | viol=  3 | 0.6s
  Ep 77: -- | cov=0.000 | steps=300 | viol=  7 | 1.2s
  Ep 78: OK | cov=0.954 | steps=245 | viol= 16 | 1.0s
  Ep 79: OK | cov=0.964 | steps=181 | viol=  6 | 0.7s
  Ep 80: -- | cov=0.615 | steps=300 | viol=  1 | 1.2s
  Ep 81: -- | cov=0.129 | steps=300 | viol=  4 | 1.2s
  Ep 82: OK | cov=0.967 | steps=135 | viol=  1 | 0.6s
  Ep 83: -- | cov=0.920 | steps=300 | viol= 16 | 1.2s
  Ep 84: OK | cov=0.967 | steps= 86 | viol=  0 | 0.4s
  Ep 85: -- | cov=0.928 | steps=300 | viol= 35 | 1.2s
  Ep 86: OK | cov=0.958 | steps=221 | viol=  9 | 0.9s
  Ep 87: -- | cov=0.903 | steps=300 | viol= 15 | 1.2s
  Ep 88: -- | cov=0.596 | steps=300 | viol=  7 | 1.2s
  Ep 89: OK | cov=0.957 | steps=174 | viol= 15 | 0.7s
  Ep 90: -- | cov=0.054 | steps=300 | viol= 14 | 1.2s
  Ep 91: -- | cov=0.513 | steps=300 | viol=  6 | 1.2s
  Ep 92: -- | cov=0.557 | steps=300 | viol= 14 | 1.2s
  Ep 93: -- | cov=0.000 | steps=300 | viol= 53 | 1.2s
  Ep 94: OK | cov=0.952 | steps=212 | viol=  4 | 0.9s
