Loading Diffusion Policy from lerobot/diffusion_pusht...
WARNING:root:Unexpected key(s) when loading model: ['normalize_inputs.buffer_observation_image.mean', 'normalize_inputs.buffer_observation_image.std', 'normalize_inputs.buffer_observation_state.max', 'normalize_inputs.buffer_observation_state.min', 'normalize_targets.buffer_action.max', 'normalize_targets.buffer_action.min', 'unnormalize_outputs.buffer_action.max', 'unnormalize_outputs.buffer_action.min']
  Loaded: 262,709,026 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity: action=[0.81 1.  ], range=[0.8, 1.0]
  NORMALIZED
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep 21: -- | cov=0.941 | viol=  5 | 34.6s
  Ep 22: OK | cov=0.958 | viol=  1 | 23.7s
  Ep 23: -- | cov=0.662 | viol=  1 | 34.7s
  Ep 24: OK | cov=0.970 | viol=  6 | 11.2s
  Ep 25: -- | cov=0.948 | viol=  4 | 36.7s
  Ep 26: OK | cov=0.952 | viol=  2 | 18.0s
  Ep 27: OK | cov=0.979 | viol=  2 | 18.1s
  Ep 28: -- | cov=0.928 | viol=  9 | 37.3s
  Ep 29: -- | cov=0.945 | viol=  6 | 33.7s
  Ep 30: -- | cov=0.551 | viol=  0 | 32.4s
  Ep 31: -- | cov=0.666 | viol=  0 | 32.1s
  Ep 32: OK | cov=0.950 | viol=  5 | 28.5s
  Ep 33: OK | cov=0.959 | viol=  5 | 32.7s
  Ep 34: OK | cov=0.953 | viol=  2 | 9.9s
  Ep 35: OK | cov=0.959 | viol=  0 | 18.6s
  Ep 36: -- | cov=0.849 | viol=  4 | 31.7s
  Ep 37: OK | cov=0.954 | viol=  8 | 30.1s
  Ep 38: -- | cov=0.919 | viol=  1 | 32.4s
  Ep 39: -- | cov=0.919 | viol= 12 | 32.3s
  Ep 40: OK | cov=0.967 | viol=  2 | 16.1s
  Ep 41: OK | cov=0.977 | viol=  3 | 18.6s
  Ep 42: -- | cov=0.948 | viol=  5 | 32.5s
  Ep 43: -- | cov=0.817 | viol=  6 | 31.4s
  Ep 44: OK | cov=0.962 | viol=  4 | 15.1s
  Ep 45: -- | cov=0.553 | viol=  0 | 32.3s
  Ep 46: -- | cov=0.925 | viol=  2 | 31.6s
  Ep 47: OK | cov=0.951 | viol=  0 | 19.3s
  Ep 48: OK | cov=0.965 | viol=  2 | 15.3s
  Ep 49: -- | cov=0.934 | viol=  0 | 36.9s
  Ep 50: OK | cov=0.958 | viol=  7 | 26.9s
  Ep 51: -- | cov=0.940 | viol= 11 | 31.3s
  Ep 52: OK | cov=0.963 | viol=  2 | 32.1s
  Ep 53: -- | cov=0.929 | viol=  2 | 31.7s
  Ep 54: -- | cov=0.949 | viol=  1 | 32.9s
  Ep 55: OK | cov=0.953 | viol=  5 | 17.7s
  Ep 56: -- | cov=0.936 | viol=  4 | 32.9s
  Ep 57: -- | cov=0.895 | viol=  8 | 32.8s
  Ep 58: -- | cov=0.650 | viol=  0 | 32.5s
  Ep 59: OK | cov=0.953 | viol=  5 | 21.1s
  Ep 60: OK | cov=0.969 | viol=  1 | 16.1s
  Ep 61: -- | cov=0.460 | viol=  1 | 32.0s
  Ep 62: -- | cov=0.388 | viol=  0 | 31.9s
  Ep 63: OK | cov=0.977 | viol=  5 | 17.5s
  Ep 64: -- | cov=0.950 | viol=  5 | 31.8s
  Ep 65: OK | cov=0.960 | viol=  4 | 18.3s
  Ep 66: OK | cov=0.961 | viol=  0 | 8.5s
  Ep 67: OK | cov=0.950 | viol=  2 | 10.1s
  Ep 68: OK | cov=0.969 | viol=  2 | 21.7s
  Ep 69: -- | cov=0.865 | viol= 12 | 31.6s
  Ep 70: -- | cov=0.914 | viol=  4 | 33.3s
  Ep 71: -- | cov=0.931 | viol=  9 | 32.7s
  Ep 72: -- | cov=0.920 | viol= 12 | 31.1s
  Ep 73: -- | cov=0.947 | viol=  6 | 32.0s
  Ep 74: OK | cov=0.967 | viol= 11 | 25.1s
  Ep 75: OK | cov=0.962 | viol=  0 | 12.3s
  Ep 76: -- | cov=0.893 | viol= 14 | 33.8s
  Ep 77: OK | cov=0.953 | viol=  1 | 31.9s
  Ep 78: -- | cov=0.925 | viol= 12 | 31.3s
  Ep 79: -- | cov=0.943 | viol=  4 | 33.4s
  Ep 80: -- | cov=0.310 | viol=  1 | 33.3s
  Ep 81: -- | cov=0.950 | viol=  8 | 31.6s
  Ep 82: OK | cov=0.955 | viol=  3 | 16.3s
  Ep 83: -- | cov=0.472 | viol=  0 | 31.5s
  Ep 84: OK | cov=0.963 | viol=  8 | 28.6s
  Ep 85: OK | cov=0.954 | viol=  6 | 20.0s
  Ep 86: OK | cov=0.959 | viol=  4 | 30.5s
  Ep 87: OK | cov=0.958 | viol=  1 | 20.9s
  Ep 88: OK | cov=0.953 | viol=  3 | 23.1s
  Ep 89: OK | cov=0.952 | viol= 11 | 24.8s
  Ep 90: OK | cov=0.950 | viol=  0 | 12.6s
  Ep 91: OK | cov=0.965 | viol=  1 | 16.9s
  Ep 92: OK | cov=0.964 | viol=  1 | 32.3s
  Ep 93: OK | cov=0.965 | viol=  2 | 24.5s
  Ep 94: OK | cov=0.967 | viol=  1 | 20.6s
  Ep 95: OK | cov=0.967 | viol=  1 | 13.5s
  Ep 96: -- | cov=0.936 | viol=  1 | 32.5s
  Ep 97: OK | cov=0.964 | viol=  5 | 15.8s
  Ep 98: -- | cov=0.948 | viol=  9 | 34.2s
  Ep 99: OK | cov=0.951 | viol=  0 | 13.4s
  Ep 100: OK | cov=0.950 | viol=  0 | 21.1s
  Ep 101: -- | cov=0.931 | viol=  4 | 32.8s
  Ep 102: -- | cov=0.942 | viol=  1 | 36.3s
  Ep 103: -- | cov=0.605 | viol=  1 | 33.0s
  Ep 104: OK | cov=0.950 | viol=  1 | 14.7s
  Ep 105: OK | cov=0.959 | viol=  3 | 17.5s
  Ep 106: OK | cov=0.957 | viol=  0 | 17.6s
  Ep 107: -- | cov=0.917 | viol=  6 | 31.6s
  Ep 108: OK | cov=0.976 | viol=  5 | 20.9s
  Ep 109: -- | cov=0.920 | viol= 10 | 32.6s
  Ep 110: OK | cov=0.953 | viol=  0 | 18.1s
  Ep 111: -- | cov=0.842 | viol=  4 | 33.5s
  Ep 112: OK | cov=0.955 | viol=  1 | 19.2s
  Ep 113: OK | cov=0.963 | viol=  6 | 19.5s
  Ep 114: -- | cov=0.935 | viol=  2 | 33.1s
  Ep 115: OK | cov=0.952 | viol=  2 | 16.6s
  Ep 116: -- | cov=0.873 | viol=  3 | 33.1s
  Ep 117: OK | cov=0.953 | viol=  2 | 11.6s
  Ep 118: OK | cov=0.956 | viol=  1 | 27.9s
  Ep 119: OK | cov=0.955 | viol=  1 | 19.9s
  Ep 120: OK | cov=0.953 | viol=  0 | 8.1s
  Ep 121: OK | cov=0.963 | viol=  0 | 18.0s
  Ep 122: OK | cov=0.961 | viol=  3 | 18.1s
  Ep 123: OK | cov=0.954 | viol= 10 | 25.8s
  Ep 124: OK | cov=0.954 | viol=  8 | 12.5s
  Ep 125: OK | cov=0.956 | viol=  1 | 8.2s
